V1;V2;V3;V4;V5
1;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
2;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
3;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
4;7.61677580869837;16.1435232129194;0.471816201967782;negative;0
5;7.61677580869837;0.476322765597214;15.9907868336892;positive;0
6;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
7;0.970385293850643;23.2839762560206;0.0416760987548134;negative;1
8;7.61677580869837;8.30992298925832;0.916588013937562;negative;1
9;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
10;0.970385293850643;7.61677580869837;0.127401057642062;negative;0
11;8.30992298925832;16.1435232129194;0.514752751283438;negative;1
12;7.61677580869837;8.30992298925832;0.916588013937562;negative;1
13;0.970385293850643;16.1435232129194;0.0601098831433561;negative;0
14;8.30992298925832;8.30992298925832;1;neutral;0
15;7.61677580869837;8.30992298925832;0.916588013937562;negative;1
16;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
17;8.30992298925832;0.476322765597214;17.4459916456845;positive;0
18;0.970385293850643;8.30992298925832;0.116774282397682;negative;1
19;7.61677580869837;8.30992298925832;0.916588013937562;negative;1
20;0.970385293850643;8.30992298925832;0.116774282397682;negative;1
21;0.970385293850643;7.61677580869837;0.127401057642062;negative;0
22;8.30992298925832;16.1435232129194;0.514752751283438;negative;1
23;8.30992298925832;0.476322765597214;17.4459916456845;positive;0
24;15.649460684666;16.1435232129194;0.96939561942352;negative;1
25;8.30992298925832;8.30992298925832;1;neutral;0
26;8.30992298925832;16.1435232129194;0.514752751283438;negative;1
27;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
28;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
29;14.956313504106;0.476322765597214;31.3995353242329;positive;0
30;22.2958511995137;8.30992298925832;2.6830394491422;positive;0
31;7.61677580869837;16.1435232129194;0.471816201967782;negative;1
32;0.970385293850643;15.4503760323595;0.062806581006071;negative;0
33;8.30992298925832;16.1435232129194;0.514752751283438;negative;1
34;8.30992298925832;8.30992298925832;1;neutral;1
35;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
36;0.970385293850643;8.30992298925832;0.116774282397682;negative;1
37;8.30992298925832;16.1435232129194;0.514752751283438;negative;0
38;7.61677580869837;0.476322765597214;15.9907868336892;positive;0
39;8.30992298925832;0.476322765597214;17.4459916456845;positive;0
40;0.970385293850643;8.30992298925832;0.116774282397682;negative;1
41;7.61677580869837;16.1435232129194;0.471816201967782;negative;0
42;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
43;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
44;14.956313504106;8.30992298925832;1.79981373153988;positive;1
45;15.649460684666;16.1435232129194;0.96939561942352;negative;1
46;8.30992298925832;16.1435232129194;0.514752751283438;negative;1
47;15.649460684666;8.30992298925832;1.88322571760232;positive;1
48;0.970385293850643;16.1435232129194;0.0601098831433561;negative;0
49;8.30992298925832;8.30992298925832;1;neutral;0
50;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
51;8.30992298925832;8.30992298925832;1;neutral;0
52;8.30992298925832;8.30992298925832;1;neutral;0
53;8.30992298925832;8.30992298925832;1;neutral;0
54;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
55;8.30992298925832;8.30992298925832;1;neutral;1
56;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
57;0.970385293850643;16.1435232129194;0.0601098831433561;negative;1
58;0.970385293850643;0.476322765597214;2.03724315514076;positive;0
59;8.30992298925832;7.61677580869837;1.09100270218908;positive;0
60;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
61;0.970385293850643;23.9771234365805;0.0404712974188631;negative;1
62;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
63;22.2958511995137;7.61677580869837;2.92720328909403;positive;0
64;0.970385293850643;8.30992298925832;0.116774282397682;negative;0
65;0.970385293850643;16.1435232129194;0.0601098831433561;negative;0
66;0.970385293850643;8.30992298925832;0.116774282397682;negative;1
67;8.30992298925832;8.30992298925832;1;neutral;1
68;7.61677580869837;8.30992298925832;0.916588013937562;negative;1
69;21.6027040189538;16.1435232129194;1.33816538893229;positive;1
70;15.649460684666;16.1435232129194;0.96939561942352;negative;1
71;0.970385293850643;8.30992298925832;0.116774282397682;negative;1
